,medication,rate,comment,drug,illness
89,"For Crohn's Disease, Maintenance",10.0,"I have been having infliximab infusions for Crohn's for 2 years now and it has given me my life back. I’m am also still taking azothioprine as a precaution so that my body doesn’t build immunity to the infliximab. It took about 3-4 months for it to work. Prior to taking it I had suffered a particularly bad 2 year flare, lost 35kg, hospitalisation, brought my marriage to the brink and I was contemplating the unthinkable. I can’t help crying as I write this as I remember what it was like. Reaching that point, it was worth the potential risks with the hope of being normal again. As I enter my third year of infusions, I am aware that the drugs effectiveness can wear off and I am praying it doesn’t. I am very fortunate to live in country that covers the cost of the infusions which would otherwise be financially devastating.  Best of luck to you all and I hope it can work as well for you as it has me.",," Crohn's Disease, Maintenance"
90,"Remicade (infliximab) for Crohn's Disease, Maintenance",8.0,"I am 24 and I was diagnosed with Crohn's disease a year and a half ago now. I've been receiving this infusion for the past 12 months. The relief was brilliant bar constantly catching coughs, colds and flu's but it was worth it as I could lead a normal life again. My infusions were every 8 weeks and could take anything up to 4 hours but my remission time between infusions began to steadily decrease. I have now had my 9th infusion and receive them every 5 weeks. My body has grown an immunity to the drug and my doctor is changing me onto Humira as a last resort to avoid surgery. Hope this helps somebody.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
91,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,I suffer of Crohn's Disease about 2 years and took remicade for one now. At first i had headaches but now i just took remicade every 56 days and keeps me ok. I don't feel the syntons of disease and bacically i eat everything that i wish but i'm 29 so i'm always on diet to keep my body shape.,Remicade (infliximab) ," Crohn's Disease, Maintenance"
92,"Remicade (infliximab) for Crohn's Disease, Maintenance",7.0,"After resisting having read American Black Box warnings I was finally persuaded through my consultants actual experience with the medicine - that and having 6 operations/ colostomy and the disease still beating me. I was exhausted and unable to walk/do anything other than essential basic necessities - if that. I have had three infusions of Remicade so far along with steroids for peri-anal fistula, Crohns, at two weekly intervals and I have some shade of a life back. Immediately after the medicine I am very tired. I have headaches that last for about four days at a time/paracetamol doesn't touch them. I get bad cramps in my legs especially at night and occasional mild flare ups BUT NOTHING like before. Stress plays factor in starting my flare ups.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
93,"Remicade (infliximab) for Crohn's Disease, Maintenance",9.0,I was diagnosed in 2013 with ibs.. Then 2014 ibd....now Feb2016 with crohn's...tried a lot of meds nothing worked went to remicaid well it has been working but never lasts that long... By 5-6 wks I'm starting to flare... This time after load in doses they used me to 7.5 and that worked I got 6 wks out of it instead of 4 wks.... But this time it's bad started flare of belly 4 days ago... And now I can't barely move feels like I've been hit by a truck... All my joints hurt so bad ...this is awful.. Hoping to get an infusion. ... But I read all the same issues....,Remicade (infliximab) ," Crohn's Disease, Maintenance"
95,Remicade (infliximab) for Ulcerative Colitis,1.0,only few words please check your TB TEST FOR MORE THAN TWO OR THREE TIMES SPECIALLY WHEN YOU ARE ALREADY ON MEDS LIKE PREDNISONE AND IMURAN ....DONT PUT YOUR LIFE ON RISK ..........I AM SUFFERING A LOT BECAUSE OF THE USE OF THIS MEDICINE.....REMICADE....MY PERSONAL SOCIAL AND FINANCIAL LIFE IS DESTROYED ......SORRY IF I AM GETTING EMOTIONAL ......IT IS TRUE WHATEVER HAPPENED WITH ME .........I WISH THAT I WOULD HAVE NEVER USED THIS MEDICINE.......,Remicade (infliximab) , Ulcerative Colitis
96,Inflectra (infliximab) for Crohn's Disease,1.0,"I been living with Crohn’s for 20 years. I was in remission with Ramicade for 7 years but after I started having flare ups I switched to Humira which didn’t work for me. I end up with a Ostomy.  About couple of months ago I start getting skin rash and blood work showed sign of active Crohns. I asked my doctor to try remicade again but my doctor recommended an alternative, Inflectra. I got the first injection 2 weeks ago. My blood pressure dropped to the point I couldn’t drive home. I was very tired the next day but felt ok after that. Couple of nights ago I had to go to ER. Severe joint pain,  sore throat, swallowing face and hand and fever.  In the matter of 3 hours I was in so put pain and could’t move. Worse experience ever.  For insurance companies  it cost way less than remicade but I am not putting my self in risk and getting the second injection",Inflectra (infliximab) , Crohn's Disease
97,"Remicade (infliximab) for Crohn's Disease, Maintenance",4.0,"I first had symptoms when I was 17 yrs old.  Was not diagnosed until I was 25 during an exploratory surgery to find out what was wrong with me.  I am now 67, have had three surgeries, 2 for blockages and a variety of meds.. This last surgery did not go well and my crohn's became worse.  The doctor recommended I go on Remicade.  Have had three treatments with no improvement, extremely exhausted.  During my treatments I developed chest pains, had an angiogram, everything fine.  Then became very short of breath, fever  and got water on the heart from the procedure.  Will be discussing this with the doctor and requesting I stop the treatments.  I have not had a rewarding experience with Remicade.  Not sure what my options are going forward.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
98,Remicade (infliximab) for Ulcerative Colitis,6.0,"I've been on remicade for four months, not very long I guess. After being in the hospital for a couple days I noticed almost immediate improvement after my first dose, and over the course of the next 4 months had good and bad days, mostly good until this past week. They increased my dosage to every 4 weeks. But even this whole last week. I've been in a major flare, I get my next dose tomorrow and I'm hoping it works and everything will get back on track until the next dose. I never understand whats going on. All I eat is chicken and carrots or squash everyday. I just want it to work regularly and I want a normal life again :(",Remicade (infliximab) , Ulcerative Colitis
99,Remicade (infliximab) for Crohn's Disease,1.0,I was on this for about 3 months and I felt awful almost every time after an infusion I ended up in the hospital. I decided it wasn't for me even though my Dr tried to force it on me.  I now have rheumatoid arthritis and a constant cough. I don't advise this drug.,Remicade (infliximab) , Crohn's Disease
100,"Remicade (infliximab) for Crohn's Disease, Maintenance",9.0,I am 22 years old  and have had Crohn's disease since age 17. I can't take steriods of any type - makes me go crazy. Remicade is the best drug I've been on for my disease. It works great but has some bothering side effects for me but they are not bad enough to quit gettting this medication every 8 weeks at the hospital through I.V. It takes about 2 or 3 hours for the treatment to be over.,Remicade (infliximab) ," Crohn's Disease, Maintenance"
101,Remicade (infliximab) for Ulcerative Colitis,3.0,"Initially helped me for around 1 1/2 years, then began to lose its potency, and last two treatments had bad reaction night of treatment.  More important platelet count went from normal to around 45,000.  No longer taking Remicade and my platelet count is normal now.",Remicade (infliximab) , Ulcerative Colitis
102,Remicade (infliximab) for Ulcerative Colitis,10.0,Diagnosed in 2003 with ulcerative colitis. Started Remicade in 2010. Helped my symptoms but developed Discoid Lupus in 2015. Doctor thinks it was brought on by the Remicade. Stopped Remicade and now taking Entyvio for colitis and plaquenil for the lupus.,Remicade (infliximab) , Ulcerative Colitis
104,"Remicade (infliximab) for Crohn's Disease, Maintenance",1.0,"After being diagnosed with Crohns, I took two (2) Remicade infusions I believe it was only two, (2) .  My condition deteriorated quickly.  I  lost forty pounds (40), the last ten (10 pounds I lost took only ten (10) days.  

I had a Prometheus Study done and it showed no trace (0) of Remicade in my system,

How is that possible?  Has anyone else had this to happen?",Remicade (infliximab) ," Crohn's Disease, Maintenance"
105,Remicade (infliximab) for Ulcerative Colitis,2.0,"After losing a substantial amount of weight and blood, in the hospital for a week two transfusioins.  diagnosed as Pan Colitis / Ulcerative Colitis.  60 mg Prednizone and the bleeding stopped at day 5. I returned home and was pressured by my GI to accept Remicade. I was skeptical but sold myself on the fact of the huge numbers of folks it helps. After two succesfull infusions I was set up for my third of which I expereinced an allergic reaction in this order, itchy palms , itchy feet , itchy everywhere, needed bowel movement , almost fainting , fever, chills and tightening of throat. Once home extreme right leg pain, hand joint pain, loss of hair. (Serum sickness) now on Balsalazide , cautious diet  and cannabis nightly & 6 months no issues",Remicade (infliximab) , Ulcerative Colitis
106,Remicade (infliximab) for Ulcerative Colitis,4.0,"Have had Ulcerative Colitis for 4 years.  3 years ago started Remicade at 5ml per Kilo, with only mild help. Only other choice was surgery. Switched Doctor who immediately doubled dose to 10ml (which I think is the normal dose) so I probably was under-medicated for 2 years. However higher dose has not helped much more.  Have had almost no side effects. One allergic reaction early on to the infusion.  Only minor problem is the skin on my hands and arms seems very thin and very easily bleeds from the slightest scratch.  So for me it has not worked as hoped. ",Remicade (infliximab) , Ulcerative Colitis
107,"Remicade (infliximab) for Crohn's Disease, Maintenance",10.0,"I was diagnosed with Crohn's disease ten years ago. I had a flare-up six months ago. I had a small bowel resection two months ago. So far I have had five transfusions. At first I felt a little faint and scared. Now it feels fine.  

I feel great and am in remission.  I supplement my Remicade transfusions with 50 mg Imuran and B-12 shot monthly.

I am very happy.  I hope the good times last.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
112,Remicade (infliximab) for Crohn's Disease,10.0,"I have Crohn's. Had symptoms when I was 2 years old, but was misdiagnosed for 5 years. I was officially diagnosed at age 7. I tried a lot of medicines as a child, but when I got a blockage located where the small and large intestines meet, it was time for Remicade or surgery. At that time, Remicade was new. My parents made the best choice and chose Remicade. I was 12 when I started and been on it for 11 years. Yes, it's longer than I should be on it, but I was finally given a life. My intestines look like I've never had Crohn's. There were side effects and over the years they increased. Now my body has gotten used to the Remicade, at age 23, and has spread to 3 of the 4 saliva glands in my mouth, blisters in mouth/throat, and facial swelling. Other than these beauty flaws, my gut looks great! Long story short, my antibodies are fighting the Remicade and I must face my fear and try something new.",Remicade (infliximab) , Crohn's Disease
114,Inflectra (infliximab) for Crohn's Disease,10.0,"After being on oral medications the first three years after being diagnosed with Crohn’s, I was put on Inflectra after developing a fistula. I have been on Inflectra for two years now. It has worked wonders! Life is normal again with no more fistula problem and only a one-week flare-up resolved with next dosage of Inflectra. Inflectra is less expensive than other similars, but that doesn’t make it bad.",Inflectra (infliximab) , Crohn's Disease
116,"Remicade (infliximab) for Crohn's Disease, Maintenance",,"I am 23 years old and have had Crohn's since I was 19. I started Remicade about 6 months ago, and it's the only treatment that's worked so far. It is a bit time consuming, but it's better than taking 10 pills a day (or more) and more effective. I would recommend trying this after everything else fails. It feels good to be normal again.",Remicade (infliximab) ," Crohn's Disease, Maintenance"
118,Remicade (infliximab) for Ulcerative Colitis,7.0,I was diagnosed wit Ulcerative Colitis 3 years ago after being on several different meds for it. My doc and I decided to try Remicade.. it works fine I think but the side effect for me was diarrhea. Plus the cost I just couldn't afford it any longer. I am back on Asacol.,Remicade (infliximab) , Ulcerative Colitis
121,Remicade (infliximab) for Crohn's Disease,4.0,I was on Remicade for five years and the Crohn's Disease went into remission BUT it did a number on my immune system.  I got staph infection and eventually a septic hip.  Had to have hip surgery which consisted of a spacer for 6 months as well as medication through a pic line.  In hospital for three and a 1/2 months and nearly another 3 months at home before I was in condition to have a hip replacement.  I also have kidney disease which is partly due to medications I took while fighting Crohn's disease.  Just waiting to die and get these diseases over with.   Really consider the side effects of Remicade - septic hip was not mentioned.,Remicade (infliximab) , Crohn's Disease
123,Remicade (infliximab) for Ulcerative Colitis,4.0,"I was diagnosed with pan UC 2 years ago. My doctor gave me different medication that didn't work for me and made me worse. I lost 20 pounds in two weeks and didn't eat or drink anything because I would go to the bathroom ten times a day.  My doctor finally recommended remicade,  symptoms went down and a year later I've started flaring up again. They increased dosage and I get it every month now. But while I'm writing this my flare ups started again and it's been two weeks of bleeding and my doctor is on vacation. I don't know to do next, I don't want to have surgery.",Remicade (infliximab) , Ulcerative Colitis
124,Remicade (infliximab) for Ulcerative Colitis,2.0,"I was diagnosed with UC in my late 20s and never had to take anything heavy like Remicade. In my late 40s now and for the past 3 months, I've been upgraded to severe UC. Was put on Remicade and just finished my 2nd round. So far, I have not seen major results. Very discouraged! I want to change my diet and I'm trying but I also have 3 kids and its hard to change everything completely and have them eat what I eat. Does anyone know if this medication works? How long should I give it?",Remicade (infliximab) , Ulcerative Colitis
146,Humira (adalimumab) for Ulcerative Colitis,9.0,"I have been on weekly doses of Humira for 5 years now. My Ulcerative Colitis (UC) is very much under control. People need to realize that not all drugs work for everyone. I am lucky Humira has worked for me. The only side effects I have are constant runny nose, mild stomach aches and minor joint pain, which can actually be from the U.C and not necessarily the Humira. For those that find the injections painful, I suggest you let the pen warm up for 20 minutes before you do your injection. I don't like taking any meds, but when you have no options, being on Humira is a much better than  having severe U.C. symptoms all day and night.",Humira (adalimumab) , Ulcerative Colitis
149,"Humira (adalimumab) for Crohn's Disease, Maintenance",8.0,My husband has had a severe case of Chron's since he was 33. He was on and off of Remicade for 7 years. Last January we found out he built up antibodies to the Remicade and it was no longer working properly.  Humira has been a God send for him. He loves that he decides when to give himself the shot and he only has side effects for 24 hours compared to 48 or 72 hours after an infusion of Remicade. He has been in remission for a year for the first time in years. We feel very blessed there is a new medicine helping patients with this very difficult disease. He also has learned to eliminate gluten and dairy. As his diet gets better he feels better.,Humira (adalimumab) ," Crohn's Disease, Maintenance"
156,Humira (adalimumab) for Ulcerative Colitis,10.0,"Was on Remicade for over a year, which cleared the ulcerative colitis within a few weeks. However within two weeks after the Remicade I started having arthritis systems that got so severe I was taking Vicodin every 4 hours and still unable to sleep, or just do usual chores around the house. My hands were so swollen, I couldn't use them. Finally Dr. decided to try Humira every 2 weeks. I have gone back to doing most of my chores, walking the dogs and my hands are no longer swollen. I am starting to feel like a normal person again. Have only had three injections, which sting like the dictions for a few minutes but it is worth it not to be in pain all the time. I hope this continues.",Humira (adalimumab) , Ulcerative Colitis
162,Humira (adalimumab) for Ulcerative Colitis,10.0,I usually would have a mild flare once a year. 2018 was the worst year for me EVER. I was so sick so I was originally put on remicade... I had lots of side effects and eventually built up antibodies. Then I started Humira <3 I do the pen! The shots don’t hurt at all (I do them in my stomach) I take 40mgs every two weeks. I’ve been on humira for a few months and I can say I’m 100% UC symptom free!!! Which I’ve never been able to 100% say before. Thank you Humira for saving my colon and giving me my life back!!!,Humira (adalimumab) , Ulcerative Colitis
164,"Humira (adalimumab) for Crohn's Disease, Maintenance",9.0,"Humira has really been a life saver. I wasn't sure if I was going to see another day in my life without pain and then I was introduced to Humira..it truly is a blessing, I don't have any side effects from the shot at all.",Humira (adalimumab) ," Crohn's Disease, Maintenance"
165,"Humira (adalimumab) for Crohn's Disease, Maintenance",10.0,"Diagnosed with Crohn's 15 years ago.  Medicine varied with poor results for 9 years. Over 60% of my colon is bad.  Prescribed Humira 6 years ago.  On Humira I have recovered and stayed in remission.  I have had no negative side effects. I have been able to manage the shot every two weeks very well.  

(Previous medications, such as pentasa and prednisone, did cause significant and bad side effects along with no help for the crohn's symptoms.)",Humira (adalimumab) ," Crohn's Disease, Maintenance"
171,Humira (adalimumab) for Ulcerative Colitis,10.0,"I am 50 years old and have had UC since I was in my late 20's. I was on Remicade from 2006-2014 when it just stopped helping my symptoms. I have been hospitalized many times for UC and on the Remicade, when it was working it was wonderful. In early 2014 my symptoms returned and I felt horrible for months and that is when my Doctor prescribed Humira 40mg. every other week. I started in July of 2014 and have had NO UC symptoms at all. It has been a lifesaver. I have to have a colonoscopy every 2 years due to my UC and my last one in Jan. 2017 showed NO signs of the UC...Doc said best scan I have had in 10 years. Humira is so worth it and much easier than Remicade.",Humira (adalimumab) , Ulcerative Colitis
172,Humira (adalimumab) for Crohn's Disease,10.0,"I have been on Humira for over 1 year.  I was originally on Entocort and Pentasa and it wasn't helping.  My doctor suggested moving to Humira rather than more pills.  I started feeling better just a few days after the initial dose.  The injections do hurt, but for only about 10 seconds.  Way better then being in constant pain!  I was a little concerned about all the warnings, but I figure I am going to die someday so I might as well feel good.  I have not had any side effects.  I am so grateful for Humira!",Humira (adalimumab) , Crohn's Disease
179,Humira (adalimumab) for Ulcerative Colitis,1.0,After being on Humira I  have severe from of bipolar disorder severe depression anxiety emotional instability panic attacks anger rage sadness memory issues etc a complete personality change. These symptoms creeped in slowly but worsened to the point that I was really struggling mentally in every aspect of life. It was almost like an out of body experience the way that drug effects your brain is dangerous.,Humira (adalimumab) , Ulcerative Colitis
180,Humira (adalimumab) for Ulcerative Colitis,10.0,"I had been on almost every medication and was on Prednisone for 2 years.  I was at the end of my rope and thought I'd never get better.  I reluctantly took Humira and I was so scared of giving myself shots.  After the initial loading 4 I cried.  I started out taking a shot every 2 weeks and it took me quite a while to actually depress the injector.  I have now been on Humira weekly for over a year and my life is quite different.  I am glad to get up in the morning, happy to go to work, elated to go the grocery store - all without scoping out a restroom first.  I feel alive for the first time since I was diagnosed.  I wait everyday for the Humira to quit working and I hope it doesn't.  For now I'll take what it has given me.",Humira (adalimumab) , Ulcerative Colitis
184,Humira (adalimumab) for Crohn's Disease,10.0,"Have Crohn's for over 20 years, been on every drug available including Infliximab. Infliximab helped but affected the nerves in my legs and feet. Now on Humira for a year, at first the dose was one injection every two weeks which helped a bit. Now on 2 pens every 2 weeks with fantastic results. No signs of Crohn's now, only side effects are sneezing and runny nose. For me a wonderful drug.",Humira (adalimumab) , Crohn's Disease
189,"Humira (adalimumab) for Crohn's Disease, Maintenance",9.0,"As a new Crohn's patient I had read a lot of horror stories about this disease and the medications used to control it - myself, I went on Azathioprine first but it stopped working gradually. Humira has honestly been a God send so far, I have my life back and no symptoms 99% of the time, I'm so thankful! Only thing I'm worried about now is if it stops working, but nothing has happened yet and I am past the danger zone apparently.",Humira (adalimumab) ," Crohn's Disease, Maintenance"
190,Humira (adalimumab) for Crohn's Disease,1.0,My husband was in humira for just over a year.  It helped with the crohns symptoms but he was constantly in hospital with infections the most serious being pneumonia.  While being treated for pneumonia they discovered his blood counts weren't right and 2 months later he was diagnosed with leukaemia.  We later found out this is one of the side effects.  On taking humira my husband signed his death warrant.  After fighting the leukaemia for 18 months my husband lost the battle.  FOLLOWING OUR EXPERIENCE I WOULD SAY STAY AWAY FROM HUMIRA,Humira (adalimumab) , Crohn's Disease
191,"Humira (adalimumab) for Crohn's Disease, Maintenance",10.0,"I have been taking Humira for 5 months after having had surgery for 3 fistulas. Humira has changed my life drastically. I am a senior in a high school and prior to humira I was constantly in pain and when i wasn't in pain I was worried about when i would be in pain and I had fistulas for 2 years without any surgeries. Since I have been taking Humira I almost forget i have any disease because I feel normal again. I can go out without worry and am pain free. I haven't gotten any fistulas since then either, I really can't say enough good things about Humira. Love it!!",Humira (adalimumab) ," Crohn's Disease, Maintenance"
202,"Humira (adalimumab) for Crohn's Disease, Maintenance",8.0,"I have been a Crohn's sufferer since I was 18, I'm now 47. I have had two bowel resections, multiple blockages and bowel symptoms that left me house bound for days at a time. I have been on Prednisone so much that I have maxed out the lifetime exposure limit, have tried Methotrexate (nausea+++), Pentasa (no change) and Remicade (serum reaction). I have been on Humira now for over 8 years and aside from a few minor flare-ups, I have a life back. Bless all of the programs and benefit companies that have recognized that this medication has restored some people to being productive once again.",Humira (adalimumab) ," Crohn's Disease, Maintenance"
206,"Humira (adalimumab) for Crohn's Disease, Maintenance",10.0,Humira gave me my life back.  I was sicker than I had ever been and this is the first medicine that consistently made me feel better.  I take it in conjunction with Pentasa which seems to be the magic formula for me.  I don't like giving myself a shot but I am so grateful for how I feel.  Diet is a big part too but this has been a miracle for me.,Humira (adalimumab) ," Crohn's Disease, Maintenance"
208,"Humira (adalimumab) for Crohn's Disease, Maintenance",9.0,I had forgotten how it felt like to be normal and healthy. To have energy. I was experiencing this after three months on Humira only to be abruptly dropped from my insurance plan. So thankful for the Abbvie patient assistance plan which has now approved me for a full year! I am looking forward to getting better again in the months ahead. I was afraid I was going to lose my job because of the flares but now I am hopeful. Thanks,Humira (adalimumab) ," Crohn's Disease, Maintenance"
215,Humira (adalimumab) for Ulcerative Colitis,10.0,"I noticed a few bad reviews so I wanted to share a good one. Started January 7, 2017. Still on Humira and in remission. My insurance agent made it 8 years and I just met a friends buddy who is in year 11 of remission on Humira. Give it a go! If you’re at the point of looking up reviews on meds, you need to try for yourself. Just because one person had a bad experience doesn’t mean you will. Good luck!",Humira (adalimumab) , Ulcerative Colitis
219,"Humira (adalimumab) for Crohn's Disease, Maintenance",10.0,I’ve had Crohn’s disease for 3 years now and have been on Humira for 2 and a half years. I love this drug. I am currently 19 and it has let me go to college and live a regular life. The only problem I had with it was the stinging pain I felt when it was injected but they have recently changed that so now it’s painless.,Humira (adalimumab) ," Crohn's Disease, Maintenance"
224,"Humira (adalimumab) for Crohn's Disease, Maintenance",10.0,"I have had Crohn's disease for about a year and a half and Humira has been amazing. I felt relief within one month and was in remission within 9 months. Life is pain free..only side effect is yeast infections every week and feel like I have the flu the week right before due for shot. Shot is painful for 10 seconds, but it is worth it. Remicade is only other option, using it as last resort. Otherwise very satisfied.",Humira (adalimumab) ," Crohn's Disease, Maintenance"
225,Humira (adalimumab) for Ulcerative Colitis,10.0,"Hey everyone! I decided to write a review because I was extremely nervous about trying this medication due to all of the negative reviews on here. My U.C. got really out of control without me even realizing it throughout college, and eventually I decided to take charge of my health. My GI and I discussed all options and decided Humira was a good fit. I have now been on it for a year and fully in remission!! No blood and very little mucus for the last 7 months. I was discouraged because I saw no improvement for about 3 months but I began to feel so much better soon after. I have not been sick from the immunosuppression at all, I was also worried about that. Give this medication a good try and give it some time if it is a good fit for you!!! Good luck everyone!!",Humira (adalimumab) , Ulcerative Colitis
226,"Humira (adalimumab) for Crohn's Disease, Maintenance",10.0,"This medicine has given me my life back. I was initially very afraid because of all the potential side effects and I tend to react severely to medicines. But my Crohn's Disease and rheumatoid arthritis progressed to the point where I couldn't function anymore. I started Humira in conjunction with Plaquenil and it has completely turned my life around. The pain and stiffness are gone, the fatigue is significantly reduced and I have lost weight and have the energy to exercise again. The injections are not pleasant, and the initial side effects of nausea and flu- like symptoms were pretty rough for the first couple of injections. I got worse after the first one, but I'm glad I stuck it out because I'm doing fantastic now.",Humira (adalimumab) ," Crohn's Disease, Maintenance"
237,"Humira (adalimumab) for Crohn's Disease, Maintenance",10.0,"I've had Crohn's disease since 05' and I struggled through high school with flares, pain, and just off balanced white blood cell count.  My doctor put me on Remicade when I was a junior. And a few days after I could barely walk, my legs were killing me, but to be it was worth it because I had somewhat of my life back. The summer I graduated we decided it would be easy to switch to Humira since I was going off to college.  It's my senior year and this summer will be my fourth year on Humira and I'm actually just having my first flare since starting Humira. They say they don't work forever but I at least got 3 and a half years out of it. Plus Humira helped pay for the cost of the medication",Humira (adalimumab) ," Crohn's Disease, Maintenance"
243,Humira (adalimumab) for Crohn's Disease,10.0,I have been on Humira for 3 years. The injection is painful but the results are excellent. I do not even feel that I have a disease any longer. Lots of energy and feeling normal is so worth any of the possible side effects. Just be careful and stay away when possible from any ill persons or high populated areas.,Humira (adalimumab) , Crohn's Disease
245,Humira (adalimumab) for Crohn's Disease,10.0,"I have been on many medications but have felt indifferent about them as I never really saw my symptoms improving or worsening. I just always felt horrible and accepted that this was my life with chronic illness! I feel so strongly about how wonderful Humira is that I had to write my first review. Humira changed my life in less than two months. I am an active student athlete and have never felt healthier than I do now! I recommend it to anyone and everyone who suffers. I know people respond differently to meds but as much as it has helped me, I think it is more than worth a try. I ended up on Humira because my insurance would not cover Remicaid or Cimzia. I am SO glad it worked out the way it did.",Humira (adalimumab) , Crohn's Disease
248,Humira (adalimumab) for Ulcerative Colitis,6.0,"My daughter is taking Humira after all other treatments for UC have failed her.  Her GI doctor just told her once you start Humira (she has been on it now for several months) you cannot stop using it.  Stopping could result in a massive flare up and loss of her colon.
So she has to take this stuff, which can have unbelievable side effects, her whole life?  Has anyone else's doctor told them this?",Humira (adalimumab) , Ulcerative Colitis
268,Cimzia (certolizumab) for Crohn's Disease,5.0,"Just to update, after 2 years of success, this medication caused me  Drug-induced lupus (DIL) just like the others. I have partial use of my one hand and whole-body joint pain. I don't think there is much left for me to do anymore with drugs.",Cimzia (certolizumab) , Crohn's Disease
270,"Cimzia (certolizumab) for Crohn's Disease, Maintenance",10.0,"I was diagnosed with Crohns Disease a while ago and was hurting non stop. I lost over 15 pounds in 2 weeks. After about 4 months of being on Cimzia I don't even worry about my stomach. Maintain a good diet, take your vitamins, and drink plenty of water. Cimzia seems like a miracle drug.",Cimzia (certolizumab) ," Crohn's Disease, Maintenance"
281,Cimzia (certolizumab) for Crohn's Disease,7.0,"I have Crohns with AS and right sided ulcerative colitis. Failed Remicade, failed Enrico, Humira gave me medically induced lupus and been on Cimzia for 2 years. I have never been in a total remission but Cimzia worked decently for 1.5 years. Now I’m afraid it’s beginning to fail. The only hope I have is this is just a flair that might end soon. It’s been 4 weeks.",Cimzia (certolizumab) , Crohn's Disease
283,Cimzia (certolizumab) for Crohn's Disease,9.0,When all else failed (I had done Asacol and Remicade along with 6-mp and other treatments; Remicade did well at first but over time stopped working) I have found this medicine to be a great replacement for Remicade. The nurse comes to the house so its more convenient. The only down side is that it's injected intramuscularly and not I.V.,Cimzia (certolizumab) , Crohn's Disease
287,Cimzia (certolizumab) for Crohn's Disease,5.0,"I initially took Cimzia as part of a clinical trial.  During the trial, we received a full dose (400 mg) every 2 weeks but, once it was available on the market, the dose was only 400 mg every 4 weeks (or 200 mg every 2 weeks).  The medicine wore off before the 4 weeks was up, so I switched to Humira, which worked much better.  Now that I've had rare side effects to Humira (and already failed Remicade), I've had to switch back to Cimzia.  It is only working for about a week and a half of the four weeks (at 400 mg).  I hope to find another alternative, as this isn't worth it.",Cimzia (certolizumab) , Crohn's Disease
289,"Cimzia (certolizumab) for Crohn's Disease, Maintenance",10.0,"I was able to use CimPay to cover my $350/month copay. I was in such total remission that it felt like I didn't even have Crohns. Loved not going to hospital for Remicade infusions and had no problems with injections or any side effects. Unfortunately, now have been exposed to TB and am positive for Latent TB Infection and must discontinue Cimzia. Abdominal pain restarted at just one week past missed dose, so have been prescribed Pentasa.",Cimzia (certolizumab) ," Crohn's Disease, Maintenance"
305,"Cimzia (certolizumab) for Crohn's Disease, Maintenance",10.0,Cimzia manufacturer covers copays. Have to renew each year. Can't work as nurse without it. Inject every 3 wks.,Cimzia (certolizumab) ," Crohn's Disease, Maintenance"
308,"Cimzia (certolizumab) for Crohn's Disease, Maintenance",10.0,This medicine has given me my life back. I no longer worry about knowing where every rest room is wherever I go. My only side effect is a headache the day after the injections.,Cimzia (certolizumab) ," Crohn's Disease, Maintenance"
309,"Cimzia (certolizumab) for Crohn's Disease, Maintenance",9.0,Love this med. take every 2 weeks works great. Did Remicade before and it's so nice not to have to go to the hospital.  Very nice to do injections at home  totally recommend,Cimzia (certolizumab) ," Crohn's Disease, Maintenance"
310,"Cimzia (certolizumab) for Crohn's Disease, Acute",5.0,"Cimzia didn't take care of the diarrhea associated with Crohn's Disease, but it did allow me to live flare free for over three years.",Cimzia (certolizumab) ," Crohn's Disease, Acute"
311,"Cimzia (certolizumab) for Crohn's Disease, Maintenance",6.0,I found it worked well but the side effects; SHARP pains throughout my body were not worth it.,Cimzia (certolizumab) ," Crohn's Disease, Maintenance"
345,Simponi (golimumab) for Ulcerative Colitis,10.0,"Had a major flare up back in April that almost lead to emergency Colonectomy. Hospitalized for 19 days straight, was in 2 different hospitals lost about half my bodies blood and 50 lbs over 6 months time. 1st doctor put me on many of the wrong medications as the disease was too severe. Starting out on Lialda, Uceris then up to Remicade which started to work for about a week and then Prednisone which was horrible. When I was in the 2nd hospital I had another Doctor prescribe Simponi and it took a while but is working for sure. I went from 20 times a day of red to 1 - 3 times a day (clear water).",Simponi (golimumab) , Ulcerative Colitis
350,Simponi (golimumab) for Ulcerative Colitis,9.0,Recent colonoscopy confirmed no active inflammation.  Experiencing no side-effects.  Painless self-injector administered very 4 weeks.  The Only minor difficulties are dealing with the specialty pharmacy and properly disposing of the injectors.,Simponi (golimumab) , Ulcerative Colitis
367,Simponi (golimumab) for Ulcerative Colitis,1.0,"Simponi did not work for me.  Tried it three months, and it made all the bleeding, cramping and diarrhea worse.  I really wanted it to work for me...but it didn't. And Jannssen was NO help...called it ""side effects,"" when it was ""exacerbation of symptoms.""  

Best wishes if you take it...I hope you find success with it.  :)",Simponi (golimumab) , Ulcerative Colitis
